PK,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION
1975721,44,F,W,Knoxville,3,5
1975722,21,M,B,South Side Flats,2,5
1975723,35,F,B,East Liberty,9,2
1975724,23,M,W,Bon Air,2,5
1975725,30,M,W,Fineview,6,1
1975726,57,M,B,Golden Triangle/Civic Arena,6,6
1975727,27,M,W,Marshall-Shadeland,1,1
1975728,53,F,B,Carrick,4,3
1975729,38,M,W,Larimer,9,2
1975730,36,M,B,Point Breeze North,9,2
1975731,52,M,W,Bloomfield,7,2
1975732,32,M,B,Crafton Heights,2,5
1975733,54,M,B,North Shore,1,6
1975734,37,F,B,Stanton Heights,9,2
1975735,48,M,B,Friendship,7,2
1975736,34,M,W,Allegheny West,1,1
1975737,20,M,W,North Shore,1,6
1975738,20,M,W,North Shore,1,6
1975739,33,M,W,Allegheny Center,1,1
1975740,30,M,W,Brookline,4,5
1975741,22,F,B,California-Kirkbride,6,1
1975742,40,M,B,South Side Flats,3,3
1975743,31,M,W,South Side Flats,3,3
1975744,31,M,B,Brookline,4,5
1975745,39,F,W,Brighton Heights,1,1
1975746,20,F,W,Brighton Heights,1,1
1975747,40,M,B,West End,7,2
1975748,15,M,B,Marshall-Shadeland,1,1
1975749,22,M,W,South Side Flats,3,3
1975750,,M,B,Golden Triangle/Civic Arena,6,6
1975755,24,M,B,Homewood South,9,2
1975756,19,M,W,Brighton Heights,1,1
1975757,28,F,B,East Allegheny,1,1
1975758,36,M,W,South Side Slopes,3,3
1975759,27,M,W,South Side Slopes,3,3
1975760,27,M,W,,,
1975761,21,F,W,Central Northside,6,1
1975762,26,M,B,Perry South,6,1
1975763,28,F,W,Bloomfield,7,2
1975764,35,M,B,Bloomfield,7,2
1975765,36,M,B,Bloomfield,7,2
1975766,24,M,W,Fineview,6,1
1975767,31,F,W,Fineview,6,1
1975768,26,M,B,Garfield,9,2
1975769,28,F,B,South Side Slopes,3,3
1975770,44,M,W,Manchester,6,1
1975771,63,M,W,Manchester,6,1
1975772,24,M,W,South Side Flats,3,3
1975773,34,M,W,Brighton Heights,1,1
1975774,23,M,W,Brighton Heights,1,1
1975775,29,M,B,Allegheny Center,1,1
1975795,50,F,W,,,
1975796,25,M,W,East Allegheny,1,1
1975797,27,M,W,Carrick,4,3
1975798,25,M,W,East Allegheny,1,1
1975799,22,M,W,Central Northside,6,1
1975800,30,F,W,Fineview,6,1
1975801,31,M,B,Fineview,6,1
1975802,23,F,H,Shadyside,8,2
1975803,28,M,U,South Shore,2,5
1975804,43,F,B,Bluff,6,3
1975815,21,M,B,Hazelwood,5,3
1975816,42,M,W,Arlington,3,3
1975817,37,M,W,,,
1975818,27,M,B,East Hills,9,2
1975819,29,F,W,Brighton Heights,1,1
1975820,41,M,W,Banksville,2,5
1975821,37,M,W,Carrick,4,3
1975822,33,F,W,Morningside,7,2
1975823,18,M,W,Golden Triangle/Civic Arena,6,6
1975824,20,M,W,North Shore,1,6
1975825,21,M,W,Banksville,2,5
1975826,48,F,W,Allegheny Center,1,1
1975827,40,M,B,Allegheny Center,1,1
1975828,19,M,B,Beechview,4,5
1975832,39,M,W,Brookline,4,5
1975833,27,M,B,Allegheny Center,1,1
1975837,46,F,W,Sheraden,2,5
1975838,31,F,W,Carrick,4,3
1975839,44,F,B,Shadyside,7,2
1975840,19,M,B,Perry South,6,1
1975841,24,M,W,North Shore,1,6
1975842,58,M,W,Outside County,,
1975843,33,M,W,Golden Triangle/Civic Arena,6,6
1975844,31,M,B,Morningside,7,2
1975845,30,M,B,Highland Park,9,2
1975846,35,M,W,North Shore,1,6
1975847,32,M,W,,,
1975848,53,M,B,Sheraden,2,5
1975849,42,F,W,East Allegheny,1,1
1975850,25,M,W,Upper Hill,6,3
1975851,39,M,W,Point Breeze North,9,2
1975852,34,F,W,Carrick,4,3
1975853,21,F,B,Hazelwood,,
1975854,26,F,B,Terrace Village,6,3
1975855,18,M,B,East Liberty,9,2
1975856,53,M,W,Allentown,3,5
1975857,33,M,B,Lincoln-Lemington-Belmar,9,2
1975858,20,M,B,Allegheny Center,1,1
1975859,77,M,W,,,
1975860,23,M,W,Brighton Heights,1,1
1975861,25,F,W,Allegheny Center,1,1
1975862,51,M,W,North Shore,1,6
1975875,47,F,W,Beechview,4,5
1975876,48,M,W,Banksville,2,5
1975877,20,M,W,Central Northside,6,1
1975878,22,M,B,Hazelwood,,
1975879,18,M,W,Lincoln-Lemington-Belmar,9,2
1975880,31,M,B,Perry South,6,1
1975882,49,M,W,Allentown,,
1975883,32,M,B,Beechview,4,5
1975884,33,F,B,Beechview,4,5
1975885,30,F,B,Northview Heights,1,1
1975886,27,M,W,Beechview,4,5
1975887,53,M,W,East Allegheny,1,1
1975888,22,M,B,Golden Triangle/Civic Arena,6,6
1975889,42,M,W,Overbrook,4,5
1975890,22,M,B,West Oakland,6,3
1975891,29,F,B,Bloomfield,7,2
1975892,46,M,B,Central Oakland,3,3
1975893,19,M,H,Allentown,3,5
1975894,52,F,A,Banksville,2,5
1975895,19,M,W,Elliott,2,5
1975896,57,M,W,East Liberty,9,2
1975897,27,F,W,Knoxville,,
1975898,27,M,B,East Liberty,9,2
1975899,45,M,B,Allegheny Center,1,1
1975900,50,F,B,Stanton Heights,9,2
1975901,39,F,B,Sheraden,2,5
1975902,36,M,W,South Side Flats,2,5
1975903,25,M,B,Outside City,,
1975904,32,F,B,Outside City,,
1975905,21,F,B,Outside City,,
1975906,18,F,B,Shadyside,,
1975915,57,M,B,East Liberty,9,2
1975916,26,M,W,South Side Flats,3,3
1975917,23,F,B,South Side Flats,3,3
1975918,23,F,B,South Side Flats,3,3
1975919,36,M,W,Marshall-Shadeland,1,1
1975920,23,M,W,Crafton Heights,2,5
1975921,55,M,W,Troy Hill-Herrs Island,1,1
1975922,24,M,B,Chateau,6,1
1975923,35,M,W,South Side Flats,3,3
1975924,39,F,W,Homewood South,9,2
1975925,30,F,B,Homewood South,9,2
1975926,51,F,B,Beltzhoover,3,5
1975927,39,M,B,Lincoln-Lemington-Belmar,9,2
1975928,24,M,B,Northview Heights,1,1
1975929,24,M,B,Homewood South,9,2
1975930,29,M,B,Arlington Heights,3,3
1975931,66,M,B,Marshall-Shadeland,1,1
